,sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
319,10658,[],Assange’s crime is to have broken a silence.,Figures_of_argument,[],['defintion_as_figure'],[],False,['defintion_as_figure'],"{
  ""Properties"": [""definition as figure""]
}",['definition_as_figure'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'Assange’s crime is to have broken a silence' presents an argument from opposites, positioning Assange's action as a 'crime' and 'breaking a silence' as the opposing action.""
}",['antithesis'],"{
    ""Properties"": [""antithesis""],
    ""Explanation"": ""The statement 'Assange's crime is to have broken a silence' presents an antithesis by juxtaposing the idea of 'breaking a silence' with the concept of 'crime'. This creates a rhetorical effect by highlighting the contradiction between the two concepts.""
}",['antithesis'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'Assange’s crime is to have broken a silence' presents an argument from opposites, contrasting the idea of 'crime' with 'broken a silence'.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'Assange’s crime is to have broken a silence' presents an argument from opposites, contrasting the idea of 'crime' with 'broken a silence'.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, contrasting the idea of 'Assange's crime' with 'broken a silence'.""
}",['antithesis'],1
320,10828,[],"Ex-Speaker Boehner should probably re-check the old party's pulse, for the Bush-Boehner GOP may not just be napping.",Figures_of_argument,[],['antimetabole'],[],False,['antimetabole'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting the idea of the party being 'napping' with the notion that it may not just be napping, implying the party is still active or relevant.""
}",['antithesis'],"{
  ""Properties"": [""antimetabole""],
  ""Explanation"": ""The use of 'Bush-Boehner GOP' in an inverted form ('Bush-Boehner') qualifies as an antimetabole, which involves inverting the order of words in consecutive phrases for emphasis or to make a point."" 
}",['antimetabole'],"{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The sentence contains strategic repetition with the repeated use of 'Boehner' and GOP'. This repetition emphasizes the connection between 'Boehner' and the 'old party', drawing attention to the potential influence of the Bush-Boehner GOP.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'Bush-Boehner GOP' presents an antithesis by combining the names of two prominent figures from the Republican Party, suggesting a contrast between the old and current state of the party.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'old' and 'may not just be napping' creates an antithesis by contrasting the old with the idea of not just napping, suggesting that the old party may be more active or alive than implied.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'Bush-Boehner GOP' creates an antithesis by juxtaposing the names of two prominent figures from the Republican Party, emphasizing a potential contrast or opposition within the party.""
}",['antithesis'],1
321,11157,[],"Debra Katz, the lawyer representing the woman accusing Brett Kavanaugh of sexual assault, has donated thousands of dollars to Obama, Hillary and the DNC!",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""eduction""],
  ""Explanation"": ""The statement presents a set of examples (donations to Obama, Hillary, and the DNC) and concludes that Debra Katz, the lawyer, has donated thousands of dollars to them."" 
}",['eduction'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites by juxtaposing the lawyer's representation of someone accusing a Republican figure (Brett Kavanaugh) with her donations to prominent Democratic figures (Obama, Hillary, DNC).""
}",['antithesis'],"{
    ""Properties"": [""antimetabole""],
    ""Explanation"": ""The statement uses antimetabole by transposing the arguments 'Debra Katz' and 'the woman accusing Brett Kavanaugh' in a phrase. In this case, the reversal of the arguments highlights the connection between the lawyer and the individual she is representing.""
}",['antimetabole'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites by juxtaposing the lawyer's representation of the accuser with her donations to political figures who may have opposing views to Kavanaugh."" 
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites by juxtaposing the lawyer's representation of the accuser with her donations to political figures who are often associated with opposing viewpoints. This creates a contrast and emphasizes a potential conflict of interest.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites by juxtaposing Debra Katz's role as a lawyer representing the accuser of Brett Kavanaugh with her donations to political figures who are often associated with the opposing party."" 
}",['antithesis'],1
322,11361,[],Email This field is for validation purposes and should be left unchanged.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The text provides a clear and succinct definition of the purpose of the field, emphasizing its validation function.""
}",['defintion_as_figure'],"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not contain any of the listed properties of Figures of argument.""
}",[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example text does not exhibit any of the other listed properties of Figures of argument, but it does utilize strategic repetition in the phrase 'validation purposes'. This phrase is repeated for emphasis and validation.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit antithesis, antimetabole, definition as figure, induction, or eduction. However, it does use strategic repetition with the phrase 'Our policy is' repeated multiple times to emphasize different supporting aspects.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit antithesis, antimetabole, definition as figure, induction, or eduction. However, it does use strategic repetition by repeating the phrase 'Our policy is' to emphasize and reinforce the key points.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit antithesis, antimetabole, definition as figure, induction, or eduction. However, it does use strategic repetition with the phrase 'Our policy is' repeated three times to emphasize different supporting reasons.""
}",['strategic_repetition'],1
323,11544,[],As to matters of purely ecclesiastical law such as this one the Church has always allowed for departures from traditional practice in cases of emergency or grave necessity.,Figures_of_argument,[],['eduction'],[],False,['eduction'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The statement sets forth the full meaning and character of ecclesiastical law, explaining that departures from traditional practice are allowed in cases of emergency or grave necessity.""
}",['defintion_as_figure'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The text uses induction by drawing a general conclusion about the Church's allowance for departures from traditional practice based on specific cases of emergency or grave necessity.""
}",['induction'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The text sets forth the full meaning and character of 'ecclesiastical law' as allowing for departures from traditional practice in cases of emergency or grave necessity.""
}",['defintion_as_figure'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'always allowed' and 'departures from traditional practice' presents an argument from opposites, indicating a contrast between the Church's historical stance and the possibility of exceptions in cases of emergency or grave necessity.""
}",['antithesis'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The statement provides a lucid and succinct definition of the Church's stance on ecclesiastical law, emphasizing the allowance for departures from traditional practice in cases of emergency or grave necessity.""
}",['defintion_as_figure'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by contrasting 'traditional practice' with 'cases of emergency or grave necessity'.""
}",['antithesis'],0
324,11572,[],You also agree to this site's Privacy Policy and Terms of Use.,Figures_of_argument,[],[],[],True,[],"{
    ""Properties"": [""strategic repetition"", ""defintion as figure""],
    ""Explanation"": ""The text does not contain antithesis, antimetabole, induction, or eduction. However, it does use strategic repetition by repeating the phrases 'Privacy Policy' and 'Terms of Use.' It also employs definition as figure by succinctly defining the two terms 'Privacy Policy' and 'Terms of Use.'""
}","['strategic_repetition', 'defintion_as_figure']","{
  ""Properties"": [],
  ""Explanation"": ""The provided text does not exhibit any of the listed properties of Figures of argument.""
}",[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The strategic repetition of 'Privacy Policy' and 'Terms of Use' emphasizes the importance of these legal documents and reinforces the user's agreement to them.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The statement 'You also agree to this site's Privacy Policy and Terms of Use' provides a clear and succinct definition of the action the user is agreeing to, setting forth the full meaning and character of the agreement.""
}",['defintion_as_figure'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text contains strategic repetition of the phrase 'Privacy Policy and Terms of Use' to emphasize the importance of these documents.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text contains strategic repetition of the phrase 'Privacy Policy and Terms of Use' to emphasize the importance of these documents.""
}",['strategic_repetition'],0
325,11668,[],Judge Kavanaugh is being subjected to charges of a criminal nature that could not only deprive him of a seat on the Supreme Court for which he is otherwise eminently qualified.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The text presents an argument from opposites by contrasting the positive qualification of Judge Kavanaugh with the negative charges of a criminal nature.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of the phrase 'subjected to charges of a criminal nature' followed by 'that could not only deprive him' presents an argument from opposites, highlighting the potential negative outcome in contrast to his qualifications.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites is evident in the juxtaposition of 'charges of a criminal nature' and 'eminently qualified'.""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'subjected to charges of a criminal nature' and 'eminently qualified' presents an argument from opposites, emphasizing the contrast between the negative accusations and the positive qualifications.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'subjected to charges of a criminal nature' and 'eminently qualified' presents an argument from opposites, highlighting the contrast between the negative accusations and the positive qualification of Judge Kavanaugh.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence contains an antithesis by contrasting the idea of Judge Kavanaugh being 'eminently qualified' with the charges of a 'criminal nature' that could deprive him of a seat on the Supreme Court.""
}",['antithesis'],1
326,11737,[],"But May’s growth was less than that in April and March, possibly an emerging trend.",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis"", ""induction""],
  ""Explanation"": ""The use of 'less than' creates an antithesis, and the conclusion that this may be an emerging trend demonstrates induction, drawing a generalization from specific instances.""
}","['antithesis', 'induction']","{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a conclusion about a potential trend based on specific instances (May's growth being less than April and March). This is an example of induction.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a conclusion about the possibility of an emerging trend based on specific instances of growth in May, April, and March.""
}",['induction'],False,"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a conclusion about a possible emerging trend based on specific examples (May's growth being less than April and March). This is an example of induction, as it involves a conclusion from the specific to the general.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a conclusion about a possible emerging trend based on specific examples (May's growth being less than April and March). This is an example of induction, as it involves a conclusion from the specific to the general.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a conclusion about a possible emerging trend based on specific examples (May's growth being less than April and March). This is an example of induction, where a generalization is made from specific instances.""
}",['induction'],1
327,11846,[],"""St. Francis in Ecstacy"", Caravaggio, 1595",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The title itself, 'St. Francis in Ecstacy', presents an argument from opposites by juxtaposing the tranquil image of a saint with the intense emotion of ecstasy.""
}",['antithesis'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The title 'St. Francis in Ecstacy' sets forth the full meaning and character of the painting lucidly and succinctly, informing the viewer that the subject of the artwork is St. Francis experiencing ecstasy."" 
}",['defintion_as_figure'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The title 'St. Francis in Ecstacy' provides a clear and succinct definition of the painting, setting forth the full meaning and character of the subject matter.""
}",['defintion_as_figure'],False,"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The title 'St. Francis in Ecstacy' exhibits strategic repetition of the phrase 'St. Francis', emphasizing the central focus of the artwork.""
}",['strategic_repetition'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The title 'St. Francis in Ecstacy' provides a clear and succinct definition of the painting, setting forth the full meaning and character of the artwork.""
}",['defintion_as_figure'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The title 'St. Francis in Ecstacy' sets forth the full meaning and character of the painting, succinctly conveying the subject and theme of the artwork.""
}",['defintion_as_figure'],0
328,11877,[],"Today at Cape Canaveral, SpaceXlaunched a new sensor to the International Space Station named TSIS-1.",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The text provides a clear and succinct definition of the new sensor launched to the International Space Station, named TSIS-1.""
}",['defintion_as_figure'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The sentence provides a clear and succinct definition of TSIS-1 as a 'new sensor' being launched to the International Space Station. It sets forth the full meaning and character of the sensor in a lucid and concise manner.""
}",['defintion_as_figure'],"{
  ""Properties"": [""defintion as figure""]
}

  ",['defintion_as_figure'],True,"{
  ""Properties"": [""definition as figure""],
  ""Explanation"": ""The sentence provides a clear and succinct definition of the new sensor TSIS-1 and its purpose, setting forth the full meaning and character of the thing lucidly and succinctly.""
}",['defintion_as_figure'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement uses induction by providing a specific example (SpaceX launching a new sensor to the International Space Station) to draw a general conclusion (SpaceX's activities at Cape Canaveral).""
}",['induction'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The text provides a clear and succinct definition of TSIS-1 as a 'new sensor' being launched to the International Space Station.""
}",['defintion_as_figure'],0
329,11936,[],America's Immigration Voice.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition"", ""definition as figure""],
  ""Explanation"": ""The text uses strategic repetition by repeating the name of the organization 'America's Immigration Voice'. It also presents a definition as figure by succinctly expressing the purpose and identity of the organization in the name itself.""
}","['strategic_repetition', 'definition_as_figure']","{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text 'America's Immigration Voice' involves strategic repetition of the words 'America' and 'immigration' to emphasize the focus on immigration within America.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of repetition in the text ('America's Immigration Voice') emphasizes the importance and impact of immigration on the country.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text uses strategic repetition of the phrase 'America's Immigration Voice' to emphasize and reinforce the importance of this concept.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text uses strategic repetition of the phrase 'America's Immigration Voice' to emphasize and reinforce the importance of this concept.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text 'America's Immigration Voice' strategically repeats the word 'America' to emphasize the focus on the nation and its immigration policies.""
}",['strategic_repetition'],1
330,12042,[],"The remarks, made in a February 6 talk in Slovakia, indirectly respond to new initiatives coming from Germany, especially from Cardinal Reinhard Marx and Bishop Franz-Josef Bode.",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage does not exhibit antithesis, antimetabole, definition as figure, induction, or eduction. However, it does feature strategic repetition in the form of 'especially from' and 'made in a'."" 
}",['strategic_repetition'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The use of 'indirectly respond to new initiatives coming from Germany' indicates a conclusion drawn from specific examples (initiatives from Germany) to make a generalization about the remarks made in the talk.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The use of 'indirectly respond to new initiatives coming from Germany' implies a conclusion drawn from specific examples or instances to make a generalization about the speaker's remarks.""
}",['induction'],False,"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement makes a conclusion about new initiatives coming from Germany based on specific remarks made in a February 6 talk in Slovakia.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement makes a conclusion about new initiatives coming from Germany based on specific examples, indicating an inductive reasoning process.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a conclusion about the general situation based on specific examples, in this case, the remarks made in Slovakia and the new initiatives coming from Germany.""
}",['induction'],1
331,12244,[],"And the Pope is almost certain to ignore this heartfelt appeal, as he has ignored others who have respectfully questioned his departures from Catholic teaching.",Figures_of_argument,[],['strategic_repetition'],[],False,[],timeout,[],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The use of 'ignore' and 'respected' creates an argument from opposites, suggesting a contrast between the Pope's actions and the respectful questioning of his departures from Catholic teaching.""
}",['antithesis'],"{
    ""Properties"": [""antithesis""],
    ""Explanation"": ""The sentence presents an argument from opposites by juxtaposing the Pope's likelihood to ignore the appeal with his past actions of ignoring similar appeals.""
}",['antithesis'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by contrasting the heartfelt appeal with the Pope's likely response, highlighting the opposition between the appeal and the Pope's actions.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by contrasting the heartfelt appeal with the Pope's likely response.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting the heartfelt appeal with the Pope's likely ignoring of it.""
}",['antithesis'],1
332,12371,[],The ever growing global list of Bishops and Cardinals that have preyed on /and or covered up the sexual abuse of minors and seminarians over the last 60 years continues to enrage the laity.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'preyed on / and or covered up' presents an argument from opposites, emphasizing the contrasting actions of the Bishops and Cardinals.""
}",['antithesis'],"{
  ""Properties"": [""antithesis"", ""induction""],
  ""Explanation"": ""The use of 'preyed on /and or covered up' presents an antithesis by contrasting the actions of the Bishops and Cardinals. Additionally, the statement employs induction by drawing a conclusion about the behavior of Bishops and Cardinals over the last 60 years based on specific instances.""
}","['antithesis', 'induction']","{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of 'preyed on /and or covered up' involves strategic repetition of the actions of the Bishops and Cardinals, emphasizing the severity of the issue.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'preyed on /and or covered up' presents an argument from opposites, highlighting the contrast between the actions of the Bishops and Cardinals and the expectations of their role in the church.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'preyed on /and or covered up' presents an argument from opposites, highlighting the contrast between the actions of the Bishops and Cardinals and the expectations of their role in the church.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'preyed on /and or covered up' presents an argument from opposites, highlighting the contrasting actions of the Bishops and Cardinals.""
}",['antithesis'],1
333,12467,[],"U.S. politics have indeed been coarsened, with Trump playing a lead role.",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'indeed' and 'with Trump playing a lead role' creates an argument from opposites, indicating a contrast between the state of U.S. politics before and after Trump's involvement.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, contrasting the coarsening of U.S. politics with Trump's leading role in it.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The statement 'U.S. politics have indeed been coarsened' uses strategic repetition by reinforcing the idea of the coarsening of politics.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, contrasting the coarsening of U.S. politics with Trump's leading role in it.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, contrasting the idea of U.S. politics being coarsened with Trump playing a lead role.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by contrasting the idea of U.S. politics being 'coarsened' with Trump playing a 'lead role', implying a direct relationship between the two.""
}",['antithesis'],1
334,12475,[],"For though unpleasant, it is not unfair to say that if there was one desire common to Bernie Sanders, Ted Cruz and Donald Trump voters, it was be rid of the regime resting on top of all of us.",Figures_of_argument,[],[],['strategic_repetition'],False,"['antithesis', 'strategic_repetition']","{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The sentence presents an antithesis by contrasting the desires of Bernie Sanders, Ted Cruz, and Donald Trump voters with the desire to be rid of the regime resting on top of all of us.""
}",['antithesis'],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The sentence presents an argument from opposites by contrasting the desires of Bernie Sanders, Ted Cruz, and Donald Trump voters with the desire to be rid of the existing regime.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'Bernie Sanders, Ted Cruz' and 'Donald Trump' as opposites highlights the contrast between them, making a statement about their common desire.""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by contrasting the desires of Bernie Sanders, Ted Cruz, and Donald Trump voters with the desire to be rid of the regime resting on top of all of us.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by contrasting the desires of Bernie Sanders, Ted Cruz, and Donald Trump voters with the desire to be rid of the regime resting on top of all of us.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by contrasting the desires of Bernie Sanders, Ted Cruz, and Donald Trump voters with the desire to be rid of the regime.""
}",['antithesis'],1
335,12626,[],It did what it is designed to do.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""defintion as figure""]
}

 		",['defintion_as_figure'],"{
  ""Properties"": [""defintion as figure""]
}",['defintion_as_figure'],"{
  ""Properties"": [""defintion as figure""]
}",['defintion_as_figure'],True,"{
  ""Properties"": [""defintion as figure""]
}",['defintion_as_figure'],"{
  ""Properties"": [""defintion as figure""]
}",['defintion_as_figure'],"{
  ""Properties"": [""defintion as figure""]
}",['defintion_as_figure'],1
336,12751,[],"To keep up everyone’s morale, the museum staff, while bombs were falling and they and their patrons were equally starving, continued to give tours and lectures, describing perfectly the artworks that had been removed.",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The text does not exhibit argument from opposites (antithesis), argument from inversion (antimetabole), definition as figure, induction, or eduction. However, it does employ strategic repetition by repeating the structure 'while bombs were falling and they and their patrons were equally starving' and 'continuing to give tours and lectures'.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage repeats the idea of the museum staff continuing to give tours and lectures despite the difficult circumstances, emphasizing their dedication and perseverance.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition with the repeated description of the museum staff's dedication to their work despite the challenging circumstances.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition with the repetition of 'while bombs were falling' and 'equally starving' to emphasize the challenging circumstances faced by the museum staff and patrons.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition with the repetition of 'while bombs were falling' and 'describing perfectly the artworks'.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition with the phrase 'while bombs were falling' repeated to emphasize the challenging circumstances faced by the museum staff and patrons.""
}",['strategic_repetition'],1
337,12847,[],"He was formally indicted by a grand jury on Wednesday on 34 counts, including 17 counts of premeditated first-degree murder and 17 counts of attempted first-degree murder.",Figures_of_argument,['eduction'],['strategic_repetition'],[],False,[],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement presents a conclusion based on specific details (34 counts, including 17 counts of premeditated first-degree murder and 17 counts of attempted first-degree murder) to draw a generalization about the nature of the indictment.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement uses induction by starting with specific counts (34 counts, including 17 counts of premeditated first-degree murder and 17 counts of attempted first-degree murder) and drawing a general conclusion about the indictment."" 
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The use of induction is evident in this sentence as it presents specific examples (34 counts, including 17 counts of premeditated first-degree murder and 17 counts of attempted first-degree murder) to draw a general conclusion about his indictment by a grand jury.""
}",['induction'],True,"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement uses induction by presenting specific counts of charges to draw a general conclusion about the nature of the indictment.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement uses induction by presenting specific counts of premeditated first-degree murder and attempted first-degree murder to draw a general conclusion about the charges against the individual.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement presents specific evidence (34 counts, including 17 counts of premeditated first-degree murder and 17 counts of attempted first-degree murder) to draw a general conclusion about the indictment of the individual."" 
}",['induction'],1
338,12857,[],Florida law already mandates a three-day waiting period for the purchase of a handgun but a person as young as 18 can buy a rifle with no waiting period.,Figures_of_argument,[],['strategic_repetition'],[],False,[],"{
  ""Properties"": [""antithesis"", ""induction""],
  ""Explanation"": ""The sentence presents an argument from opposites, emphasizing the contrast between the waiting period for handgun and the lack of waiting period for rifles. It also forms a conclusion from the specific example in Florida to make a general statement about the age-based difference in waiting periods for different types of firearms.""
}","['antithesis', 'induction']","{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by contrasting the waiting periods for purchasing a handgun and a rifle in Florida law.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, highlighting the contrast between the waiting period for purchasing a handgun and the absence of a waiting period for purchasing a rifle.""
}",['antithesis'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites by contrasting the waiting period for purchasing a handgun with the absence of a waiting period for purchasing a rifle.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, highlighting the contrast between the waiting period for purchasing a handgun and the lack of waiting period for purchasing a rifle.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, highlighting the contrast between the waiting period for purchasing a handgun and the lack of waiting period for purchasing a rifle.""
}",['antithesis'],1
